income_yearly,debt_total,payment_history_score,credit_limit,credit_used,credit_utilization_ratio,credit_worthiness
3957350,3531546,5,418679,83875,0.2,bad
2375069,975573,34,508995,272970,0.54,good
3751792,3404175,97,409940,239977,0.59,good
3799560,,6,389610,148252,0.38,bad
3617510,2087812,19,931497,573032,0.62,good
2422205,988505,46,847585,290478,0.34,good
2094992,863332,45,751683,533680,0.71,good
1297155,1727070,71,490293,472412,0.96,bad
,5259932,5,1166313,920953,0.79,bad
661164,323360,15,,67770,,good
3368045,,98,,472614,0.4,good
2014030,309163,54,239833,105988,0.44,good
1878359,,98,517845,189935,0.37,good
3732618,339128,67,1378730,473858,0.34,good
,4782029,30,1363657,1211108,,bad
2800108,3440164,43,955657,786324,0.82,bad
1418880,,73,209983,77442,0.37,good
1329814,,8,481916,471780,0.98,bad
890983,375101,80,282018,35636,0.13,good
2124553,2834340,45,484697,,0.51,good
3595874,3721085,100,773647,104830,0.14,good
2081816,1028958,80,228885,184061,0.8,good
258894,372305,32,41236,10142,0.25,bad
2041660,1588466,37,414012,214218,0.52,bad
269836,195985,57,,17427,0.37,good
3843338,4691682,100,650238,585694,0.9,bad
1056198,1003415,25,194549,11548,0.06,bad
,2964141,12,773942,48587,0.06,bad
3377396,1998679,66,1315757,140446,0.11,good
1740231,1327138,,546337,401030,0.73,bad
920818,622554,68,300023,191920,0.64,good
2731419,1466284,11,965472,,0.4,good
3797737,3048067,52,748235,190971,0.26,good
1713653,2528821,18,338439,57584,0.17,bad
2447583,1236498,16,585800,234345,0.4,good
264981,38579,40,64326,52336,0.81,good
3894435,117002,18,874301,25576,0.03,good
3796525,4562708,4,577009,415414,0.72,bad
3196406,4047553,76,487342,278257,0.57,good
3819800,5681727,99,1092652,,,bad
1714266,790339,16,672021,,0.21,good
752910,1110812,30,109034,37121,0.34,bad
1731682,472489,1,392270,214546,0.55,good
,4546824,,554572,78572,0.14,good
2790010,4175356,21,1012196,907246,0.9,bad
3281215,4583628,65,1129143,947718,0.84,bad
1005800,1505569,97,105246,92833,0.88,bad
1260307,1817376,91,380281,331236,,bad
3965941,2211665,66,1226075,867951,0.71,good
1634859,1349485,92,177209,131245,0.74,bad
221157,275437,32,,,,bad
3820888,,79,825974,470003,0.57,good
3589710,2291992,17,663201,401176,0.6,bad
2203297,1451425,6,807567,,0.97,bad
1515440,1284490,50,452037,,0.55,good
200749,201350,6,37609,,0.61,bad
572070,116452,35,209465,32445,0.15,good
2685367,2169297,56,766719,196289,0.26,good
950914,175971,74,226398,180837,0.8,good
2873099,518671,,600313,538988,0.9,bad
1018144,230817,99,162997,122560,0.75,good
3318432,3320051,77,1003401,830495,0.83,bad
2733834,1763230,94,294524,66997,0.23,good
867525,286580,,100488,71254,0.71,bad
945241,382695,17,315693,281485,0.89,bad
412560,21041,,46028,34363,0.75,bad
766988,154172,99,87128,45005,0.52,good
3288071,1830754,44,,278683,0.58,good
2088601,3006684,42,509103,253984,0.5,good
3944522,1637169,75,644552,595855,0.92,good
957821,349672,72,247659,25210,0.1,good
3401698,4608688,0,594542,422713,0.71,bad
2520839,,30,726938,236905,0.33,bad
2085236,1022025,51,,179299,0.56,good
1408565,557757,3,,35922,0.23,good
1538466,441915,10,562230,146590,0.26,good
1777123,896468,18,440996,290916,0.66,good
107911,36454,70,20815,3017,0.14,good
,3331769,,648063,435030,0.67,good
3894156,5158571,75,418606,69183,0.17,good
1356928,847954,49,259355,91695,,good
597455,269863,3,213796,93106,0.44,good
1568627,1569218,8,329884,299605,0.91,bad
906422,808637,20,164075,158503,0.97,bad
3096632,845155,66,934238,240321,,good
773176,1125978,64,168982,14163,0.08,good
245179,79592,15,67202,3555,0.05,good
1682795,2144913,15,667299,202600,0.3,bad
2605033,3528712,2,727604,633124,0.87,bad
3816755,85013,57,1202429,919991,0.77,good
,,91,778114,137616,0.18,good
1654010,2067953,95,245354,126435,0.52,good
2340574,,56,819315,259662,0.32,good
948266,828920,93,156655,115489,0.74,bad
1515673,166019,55,325609,171914,0.53,good
3304683,2716371,77,,673160,0.73,bad
3192087,4168420,62,500471,332168,,good
3894078,1961421,61,1444038,350257,0.24,good
1187678,920797,58,451261,26271,0.06,good
,9701,,,4185,0.14,good
2854532,814026,85,749134,2959,0,good
154350,164923,92,21865,5786,0.26,good
3339633,297807,34,1009390,67635,0.07,good
3828431,4346639,11,1030543,271304,0.26,bad
3343537,3265083,78,,351650,0.64,good
1401212,,34,282832,55223,,bad
3926311,3908154,48,1213677,387940,0.32,good
1410518,,8,224608,98037,0.44,good
2689942,3211916,26,689243,345792,0.5,bad
2163043,1440803,48,276884,116064,0.42,good
174218,16501,55,17554,8743,0.5,good
2758109,,98,294702,267187,0.91,good
2179334,2444168,8,426110,261167,0.61,bad
,1047303,31,338377,,0.66,bad
372060,418313,24,54143,34966,0.65,bad
930892,541461,72,213503,179569,0.84,good
3633021,5329664,56,1014549,840906,0.83,bad
2440637,100055,33,725237,260765,0.36,good
1986266,949000,7,394294,350645,0.89,bad
493479,302087,,178573,36756,0.21,bad
1861091,576288,66,,430320,1,good
3224369,2789331,82,372537,178793,0.48,good
632078,,91,97865,76604,0.78,bad
1133044,,13,446175,193275,0.43,bad
2652707,1238485,11,556194,17718,0.03,good
1558777,118167,75,236192,169802,0.72,good
2627884,2078428,62,804107,772136,0.96,bad
2376229,955477,76,702965,599601,0.85,good
3640244,5138579,90,480804,88848,0.18,good
3198201,,4,959279,285368,0.3,good
3000336,2395483,98,316198,221450,,good
1087300,801882,45,131330,22858,0.17,good
746967,1083144,27,98485,,0.95,bad
1403166,578624,,252232,198441,0.79,good
1629218,273417,87,239587,186639,0.78,good
802058,936657,96,141470,128142,0.91,bad
1503180,186756,51,475063,26862,0.06,good
2532234,3118459,58,775020,212013,0.27,good
1174022,1159392,34,166542,29567,0.18,bad
2148892,163047,65,806375,345496,0.43,good
3843944,3655611,68,1520554,224266,0.15,good
3659343,987392,18,1446298,1139748,0.79,bad
2452462,1112893,82,373473,266987,0.71,good
452783,25306,79,156445,,0.49,good
1479338,1959389,17,510315,353876,0.69,bad
1291187,871489,73,493023,250738,0.51,good
2634691,2176609,65,389278,335153,0.86,bad
1799950,2564389,,352988,248859,0.71,bad
2098367,1022163,19,331722,41676,0.13,good
,4741338,16,,,0.91,bad
2462787,2923756,94,941676,263115,,good
2985012,3819477,50,508418,477134,,bad
1952309,1772229,15,487006,63738,0.13,bad
2367204,2112695,8,287875,38503,0.13,bad
,,26,20205,7914,0.39,bad
3290605,3450592,50,803328,625027,0.78,bad
3783348,3820145,76,1072260,350672,0.33,good
110832,56027,72,27940,15613,0.56,good
3146300,3673512,43,867643,446494,0.51,good
2672747,16233,,913685,626336,0.69,good
,5008545,11,1183023,354084,0.3,bad
1845438,1166769,53,,208967,0.44,good
901250,1062013,,305158,151994,0.5,good
2597110,2901171,18,348658,,0.39,bad
,44654,64,81634,34222,,good
1773504,,21,412826,306623,0.74,bad
1910254,1630243,59,299469,172561,0.58,good
1714548,743093,62,182791,58693,0.32,good
149001,80723,,42669,752,0.02,good
709685,502816,46,101823,30356,0.3,good
2559728,178035,76,780826,111707,0.14,good
1770706,2477405,76,282326,60561,0.21,good
200321,226176,56,75567,2371,0.03,good
3467389,,67,1225551,1172642,0.96,bad
3568064,2088309,52,987027,664434,0.67,good
1677295,1978441,67,515011,193477,0.38,good
164322,30896,89,64867,14520,0.22,good
2974110,2670888,,755294,661353,0.88,bad
2827480,,89,847626,762335,0.9,bad
,2502840,76,198921,143517,0.72,bad
2803990,1757949,49,323925,172968,0.53,good
2707864,1526643,63,299343,130769,0.44,good
1272424,540861,9,356848,,0.04,good
2400824,,54,702773,270793,,good
1977281,1620835,65,445102,78451,0.18,good
2809613,3694997,58,678847,,0.6,good
1659833,1250677,11,356567,335133,0.94,bad
3830791,4783965,60,1245501,832599,0.67,good
2446962,1614648,70,941858,843796,0.9,bad
2468113,390730,94,332412,28237,0.08,good
2768610,1402199,38,,402851,,bad
1641722,1110999,80,578971,118321,0.2,good
356518,255761,74,111576,,0.9,bad
1616042,221127,35,608147,51012,0.08,good
2515083,3600526,67,570909,251901,0.44,good
2654214,3523853,82,369118,354235,0.96,bad
2007714,2882713,14,323472,10973,,bad
799823,303466,9,83807,55168,,good
1118173,2934,75,410685,375875,0.92,good
616574,353449,44,162803,43040,0.26,good
383630,41630,87,111029,70600,0.64,good
1138868,1087213,7,267133,237152,0.89,bad
2561346,1786806,12,505186,170459,0.34,bad
2303176,1048639,26,632802,397446,0.63,good
874910,,35,224990,90606,0.4,bad
2838859,3062262,,503351,408124,0.81,bad
1350539,1018920,49,208135,34140,0.16,good
3302841,,39,1035079,143665,0.14,bad
1326636,133465,50,275178,66537,,good
788768,1120208,32,306371,93115,0.3,bad
1023272,1057951,,290785,164751,0.57,good
2212893,2368573,42,723846,,,bad
2784764,3083886,69,937100,818044,0.87,bad
1632160,1092984,68,342562,174656,0.51,good
3232730,,80,663092,623569,0.94,bad
835700,446991,47,294680,193906,0.66,good
2196989,2913509,,482613,200367,0.42,good
2847501,4055803,75,1085152,61316,0.06,good
839038,1215802,86,273513,242525,0.89,bad
474634,244656,12,121591,,0.24,good
1533614,925260,,,73763,0.28,good
3052886,699438,20,963935,381927,0.4,good
2711254,1335610,19,374285,116232,0.31,good
2186489,3202551,73,794374,739683,0.93,bad
,2362280,95,572808,558034,0.97,bad
3378845,4214178,68,984357,499122,0.51,good
2510715,2405454,42,708453,334246,0.47,good
,2660144,7,,309403,0.41,bad
3033258,1030942,65,406203,360213,0.89,good
2781630,3315036,6,765161,294544,0.38,bad
2707580,2340341,89,367818,274186,0.75,bad
2393864,,49,904986,184245,0.2,good
2442990,432235,40,318250,297242,0.93,good
3398349,3800244,,968910,96818,0.1,good
3279517,84842,43,861782,45554,,good
2785233,1943511,62,287108,87855,0.31,good
3658220,1923671,88,445850,,0.66,good
,1817870,53,,259633,0.45,good
269167,278743,68,,29433,0.78,bad
2742298,1613330,25,404962,261501,0.65,good
1470369,927250,9,288306,193808,0.67,bad
,1728281,48,320175,46376,0.14,good
2759014,2040301,12,699731,569037,0.81,bad
3934372,4081476,68,1359490,747922,0.55,good
861520,56480,51,234246,225228,0.96,good
2364930,3096709,66,628294,295835,0.47,good
2872870,963754,95,987461,600895,0.61,good
819581,578283,,,49151,0.19,good
1667898,,21,643316,363376,0.56,bad
2724794,1492469,21,685399,486917,0.71,bad
3999652,3679090,24,1599419,,0.45,bad
2936252,4086604,66,1037503,505964,0.49,good
2116889,2623115,58,558566,270805,0.48,good
2386056,368846,72,619656,290580,0.47,good
1453772,1637689,22,,25916,0.09,bad
3774310,3964204,67,587061,246480,0.42,good
2216862,3314878,,394518,238108,0.6,bad
2684058,1242507,86,910338,851796,0.94,good
3043288,372102,81,706594,162787,0.23,good
3060156,1217151,2,1016683,84208,0.08,good
3825840,2642922,32,1155788,879231,0.76,bad
2534735,2147592,69,488274,52401,0.11,good
,,23,310668,185299,0.6,bad
1929078,1054366,36,653911,44471,,good
134032,5088,5,34580,4337,0.13,good
385213,182163,78,106441,41469,0.39,good
1473324,2205074,88,346992,22048,0.06,good
997585,724501,,230844,168886,0.73,bad
453088,159167,35,166942,149304,0.89,bad
3722012,4282590,88,1117172,1014419,0.91,bad
2367744,473680,10,639741,394991,0.62,good
2513796,253254,12,336551,198223,0.59,good
565500,552996,4,186558,115826,0.62,bad
,1285880,28,218729,71329,0.33,bad
2365593,252163,82,330575,77679,0.23,good
197957,169473,62,60505,25758,0.43,good
3228602,484196,22,362665,22062,0.06,good
2920662,2883385,76,716736,341659,0.48,good
3060186,2246461,71,,330011,0.43,good
2502807,1030460,87,386538,263111,0.68,good
2742272,1702664,18,656736,643006,0.98,bad
2910703,,100,965137,697652,0.72,bad
3735224,5154124,0,792014,245957,0.31,bad
1861933,1023557,15,,412182,0.8,bad
2552170,3132753,,419927,10438,0.02,good
1046036,474172,35,372340,,0.38,good
3345964,531251,33,1101638,458139,0.42,good
2255870,2979765,80,747186,546086,0.73,bad
1454058,1244146,100,463645,96748,0.21,good
995806,362642,47,221202,72603,0.33,good
2117469,2358602,100,728883,523608,,bad
2814143,4056300,96,1029262,911404,0.89,bad
1295993,880438,26,167670,,0.24,bad
,,70,120295,36320,,good
2224143,2095570,63,594734,87712,,good
3953606,4900468,93,417308,,0.58,good
1328689,907715,31,,125509,0.32,bad
2993163,2704971,64,1061677,344644,0.32,good
619552,648004,0,191357,145439,0.76,bad
2326923,3343815,66,668275,586010,0.88,bad
3586462,2805794,23,1300718,568037,0.44,bad
1380543,1708158,69,313120,294456,0.94,bad
2341326,,39,437203,169946,0.39,bad
1443588,,36,532538,528683,0.99,bad
,1331306,61,220378,122105,0.55,good
2755479,,38,1049989,609752,0.58,bad
3393071,,93,1279894,67638,0.05,good
3158994,1952641,,505146,374714,0.74,bad
2451167,1796754,51,269301,38427,0.14,good
3203202,,18,391801,288675,0.74,bad
1038692,675462,80,394173,108581,0.28,good
,2883394,29,824646,642177,0.78,bad
3396298,,23,880292,77246,0.09,good
3976135,2930540,77,1573473,226395,0.14,good
1594422,296709,60,310371,83030,0.27,good
2956237,2740544,11,787805,187995,0.24,bad
2709406,752634,77,880848,410628,0.47,good
3152343,3472168,42,1007950,924046,0.92,bad
2106385,2901191,92,817079,796423,0.97,bad
,799350,6,367548,198445,,bad
3054239,1053323,99,,32208,0.05,good
520160,18828,72,191888,155931,0.81,good
1483400,2009345,44,223486,21733,0.1,good
1908599,2833777,39,273749,,0.4,bad
3985447,1611280,,1555663,533325,0.34,good
,25336,54,255565,90737,,good
1329093,886049,13,418848,132145,0.32,bad
,76614,69,106349,,0.61,good
138303,136881,14,50871,15762,,bad
2055512,314993,71,207801,123437,0.59,good
1518441,286853,83,551112,384726,0.7,good
413365,,32,101046,19812,0.2,good
,69421,97,149947,90855,0.61,good
2899062,1920658,88,573246,77229,0.13,good
3543992,2378378,21,1375339,751835,0.55,bad
1000902,803268,72,294773,210967,0.72,bad
2443512,1164823,,412018,178817,0.43,good
2666111,2857711,16,546894,466660,0.85,bad
2420838,2208881,17,256108,114753,0.45,bad
1309247,1893978,25,136881,113269,0.83,bad
822612,532422,82,182102,136899,0.75,bad
290989,32716,12,,34522,0.37,good
395080,25584,46,136113,127351,0.94,good
2550862,,,500767,275094,0.55,good
3971582,3008281,,799000,342122,0.43,good
1538141,2022182,48,475416,166882,0.35,good
472417,327582,75,171245,164827,0.96,bad
3373068,1050311,,464308,339281,0.73,good
3834246,1826438,23,384918,32110,0.08,good
236419,,,35506,27175,0.77,bad
3094337,,99,1176979,135792,0.12,good
2322281,1765092,92,638626,591460,0.93,bad
3189825,314289,51,,314102,0.3,good
3024148,3190012,43,862081,608575,0.71,bad
2936120,1585595,51,877941,872415,0.99,good
1966888,,31,225828,87485,0.39,bad
1837763,1035238,100,516641,150744,0.29,good
1916510,1151288,35,487633,470675,0.97,bad
3005834,1688119,57,461839,206532,0.45,good
2068929,1553955,25,822241,368959,0.45,bad
3780322,4800413,11,1162827,31142,0.03,bad
,355990,1,205765,199083,0.97,bad
,1307719,33,185340,159109,0.86,bad
892628,1216229,19,215182,103949,,bad
699337,711059,5,229266,199667,0.87,bad
3187623,3019748,82,556075,160180,0.29,good
2244719,3264642,65,363123,85788,,good
2500386,1392977,71,610984,496550,0.81,good
2264503,1243099,47,330094,233705,0.71,good
2984966,518361,47,982411,239686,0.24,good
665622,952990,,83888,19978,0.24,bad
,2864314,85,288603,68631,,good
2643253,3460212,47,684141,630740,0.92,bad
1738309,,0,,172342,0.74,bad
2170286,917829,12,658095,,0.03,good
3425838,3468178,77,360825,185027,0.51,good
,2512063,66,867082,19383,0.02,good
2320922,1232136,83,672951,294602,0.44,good
2982861,3601435,11,952993,6761,0.01,bad
787120,16767,16,122507,37471,0.31,good
1717499,2005041,4,300801,21370,0.07,bad
1852124,2653114,41,267067,97068,,good
1512555,2206349,82,244095,142103,0.58,good
2525102,1185775,83,847957,442938,0.52,good
186285,48386,13,33361,31180,0.93,bad
120809,170856,8,24413,12617,0.52,bad
1861046,2661703,38,514460,385165,0.75,bad
3196896,3484646,7,1077727,473137,0.44,bad
1314203,835644,,464100,50643,0.11,bad
1459918,239019,62,278777,,,good
2978293,4394376,,424764,201100,0.47,bad
1782418,,28,,49518,0.08,bad
1469640,,18,549838,535545,0.97,bad
3582477,,86,,685353,0.95,good
2268199,1856391,60,848879,341516,0.4,good
1277977,799208,92,307237,,0.14,good
1298763,621860,81,283668,153322,0.54,good
596845,605374,,81646,,0.38,bad
519216,105555,60,98475,75440,0.77,good
422603,,52,67408,56306,0.84,good
922027,1077834,13,183340,123910,0.68,bad
3456025,1054089,50,491639,24751,,good
521637,516087,18,199414,116637,0.58,bad
1814308,1572823,54,561323,100793,0.18,good
2730645,919822,40,1068490,631908,,good
2128711,1644926,77,517609,343268,0.66,good
1038987,1306208,15,129365,35562,0.27,bad
3800497,2871295,76,1365258,304742,0.22,good
3683267,670724,14,699350,136673,0.2,good
,223990,,60604,46361,0.76,bad
888334,1141847,96,209038,196967,0.94,bad
2762092,757678,7,1041379,280655,0.27,good
567942,715234,14,144127,,0.36,bad
2898981,251845,74,348253,186409,0.54,good
1560186,1145282,52,428275,297835,0.7,good
3960792,4092732,4,654451,458721,0.7,bad
2260821,2220613,5,694782,45355,0.07,bad
,843194,45,457342,,0.06,good
2308271,1207639,67,388631,313119,0.81,good
1006033,1173872,96,276872,152892,0.55,good
3411035,848868,,1076611,711771,0.66,good
3394975,475366,33,778000,723082,0.93,bad
1304814,341023,10,157548,31631,0.2,good
3146343,2272037,81,790110,591990,0.75,bad
952440,357805,24,324115,2561,0.01,good
2648020,2302587,,843673,89747,0.11,good
2454037,636505,87,676989,432530,0.64,good
932217,561162,74,,80915,0.39,good
2607356,2141362,98,727153,77605,0.11,good
1853237,1622968,92,609125,490112,0.8,bad
,2246781,62,807560,720029,0.89,bad
1699898,,17,551390,506086,0.92,bad
3569377,530159,31,561591,223434,0.4,good
2817484,,7,393831,313217,0.8,bad
1094732,1426321,,294028,7476,0.03,bad
3812594,5716236,23,510629,233390,0.46,bad
2701432,,71,369680,162262,0.44,good
2332055,3144978,58,446722,418227,0.94,bad
1140669,531561,48,163374,59528,,good
2404307,3195888,60,329511,146470,,good
974794,666817,55,218781,,0.04,good
1906329,2091488,,,227609,0.91,bad
447105,333931,75,75240,36916,0.49,good
743400,888312,91,257599,140578,0.55,good
,571970,63,272247,56635,0.21,good
1506677,1269502,95,529739,55118,,good
1990451,2094741,38,,272243,0.36,bad
1036355,635233,1,224572,153305,0.68,bad
1890652,1932975,73,398261,175311,0.44,good
,4846862,7,1339621,1283343,0.96,bad
3296353,4241105,65,,916574,0.76,bad
2943468,2272703,49,328044,208910,0.64,good
3950359,714105,48,699353,252520,0.36,good
943816,646586,,330566,311412,0.94,bad
,617040,21,1145459,614542,0.54,good
2267556,2628689,53,645989,494658,0.77,bad
3403493,4841374,67,1072205,1053148,0.98,bad
1334046,1258105,60,342647,220614,0.64,good
1525556,364963,86,324048,267041,0.82,good
,171667,21,1026740,318573,0.31,good
652563,859390,15,113968,59552,0.52,bad
1999966,2193474,96,589759,480610,0.81,bad
1632200,434632,,445081,302066,0.68,good
2128178,1090688,50,760307,196327,0.26,good
3810913,861751,,714008,310681,,good
2376320,2606763,,273556,191254,0.7,bad
522207,,76,83042,26863,0.32,good
3032215,3343648,38,,,0.96,bad
3554515,3077969,93,1305012,,0.1,good
2268102,860098,78,773537,39083,0.05,good
1820516,723357,20,463837,209778,0.45,good
3412532,4839262,44,549182,380829,0.69,good
662977,511497,9,129815,16253,0.13,bad
3305519,3462793,66,629288,,0.03,good
3286509,843431,47,1020320,25513,0.03,good
3964967,183011,62,1194006,687914,0.58,good
345316,,20,124367,47735,0.38,bad
410147,,,98027,88900,0.91,bad
3396084,2554979,87,402891,110233,0.27,good
3071047,2213047,68,,602478,0.85,bad
1596446,46083,21,385736,353109,,bad
1611514,,27,577023,342349,0.59,bad
276876,,48,54691,21276,,good
3998755,2729470,93,1169193,986035,0.84,bad
3192328,1763278,22,1110266,126342,0.11,good
3554431,4729488,36,1255274,207671,0.17,bad
859251,1230809,73,284313,230758,0.81,bad
2074510,1452316,16,708269,327151,0.46,bad
3676127,854617,96,1392643,1046331,,good
3849827,1762621,,988339,778117,0.79,good
1128099,249864,56,346813,57366,,good
3127061,4011775,74,1079125,774605,0.72,bad
2096862,504976,87,812073,307648,0.38,good
,1194582,90,285996,100818,0.35,good
2712743,1376779,92,689580,537897,0.78,good
2785706,90300,46,649568,6954,0.01,good
394952,405187,28,90349,14330,0.16,bad
1132886,308713,55,254506,80336,0.32,good
3367033,,61,652997,591252,0.91,bad
832164,1236228,98,109835,64571,0.59,good
113977,166946,100,40675,3662,0.09,good
172403,152303,50,66122,7904,0.12,good
1095698,1290191,55,187487,61838,0.33,good
2041641,2201380,21,433074,406429,0.94,bad
617924,140664,33,210367,62692,0.3,good
979097,721536,7,134095,30124,0.22,bad
3810944,3851511,0,1121544,819803,,bad
3100634,1307113,49,507915,159413,0.31,good
2139343,1153047,13,317904,216294,0.68,good
416882,538749,71,59743,49335,0.83,bad
1649698,1059882,94,445464,316696,,bad
3689685,2434981,18,1097605,,0.97,bad
1575329,1640238,18,392428,125888,0.32,bad
3475932,5079688,89,351856,100921,0.29,good
949039,,84,370185,146716,0.4,good
3156028,375356,83,681980,25969,,good
489989,51136,81,184713,33934,0.18,good
1855940,2355148,80,561274,284180,0.51,good
129491,139481,47,34333,16641,0.48,good
689956,680275,74,270706,235862,0.87,bad
2355271,1205170,57,712137,188136,0.26,good
3946549,5232457,13,1152827,205554,0.18,bad
,1713089,,982489,794383,0.81,good
1440271,830723,37,575880,109442,0.19,good
3964965,1085704,,966500,373588,,good
3118310,1795373,20,1028057,874834,0.85,bad
,279715,53,275944,121341,0.44,good
,51822,92,74289,46420,0.62,good
,439760,100,154645,,0.69,good
3233958,2516167,51,1023755,371368,0.36,good
2738367,2951005,52,663605,419322,0.63,good
,1082212,43,231558,34470,,good
3168391,3828313,22,1019816,263762,0.26,bad
1980100,1764067,11,439760,79833,0.18,bad
2506490,2100467,89,719059,154656,0.22,good
3422390,4231381,23,521320,307737,0.59,bad
,339231,68,43145,41684,0.97,bad
2168123,216579,33,637196,365737,0.57,good
2688077,344149,90,798697,38044,0.05,good
3001605,,48,519850,474226,0.91,good
2709139,2855969,86,394711,289943,0.73,bad
3990120,1542501,46,1441292,600667,0.42,good
2111332,,2,548242,408659,0.75,bad
2411996,2289561,49,375512,338557,0.9,bad
1730308,1676793,48,500924,461585,0.92,bad
3389979,445697,24,869358,91539,0.11,good
2952633,3317118,35,806157,9654,0.01,bad
726606,525476,21,,129349,0.95,bad
3516989,1447352,24,844606,776469,0.92,bad
1031193,709733,6,106467,20478,0.19,bad
120433,65051,8,39330,31878,0.81,bad
2830091,3153775,23,1083168,979806,0.9,bad
2000106,2982706,45,,282196,0.71,bad
183771,265329,43,27288,10637,0.39,good
1810605,1309496,35,638396,267759,0.42,bad
2711917,192203,,326538,171242,0.52,good
2467956,188065,81,925961,516847,0.56,good
2480636,504085,39,896266,55240,0.06,good
1963648,1501105,43,363589,87054,0.24,good
1008318,561013,22,142416,126342,,bad
2119117,1127096,74,333142,277253,0.83,good
1227079,713812,73,425009,9222,0.02,good
2517782,3039430,66,736944,198900,0.27,good
3440038,4869197,,1082530,640158,0.59,bad
1525309,600482,71,496826,382877,0.77,good
183685,,69,30438,20146,,good
2291802,3267077,30,537208,109111,0.2,bad
970071,687020,27,347664,304707,0.88,bad
3180248,1709910,23,1118911,136958,0.12,good
3691704,4118838,2,772891,300459,0.39,bad
2379926,873175,57,448639,281334,0.63,good
836046,265120,92,105927,21587,0.2,good
3053209,4432046,81,926025,96736,,good
575848,189154,26,219824,73399,0.33,good
267902,77963,88,56345,31428,0.56,good
693876,954824,,203297,,0.91,bad
1620808,1145715,23,321511,194044,0.6,bad
334713,340922,55,66260,16406,0.25,good
430069,136435,38,52145,12362,0.24,good
2964373,3951051,0,509544,481106,0.94,bad
3282604,2273462,54,605833,219757,0.36,good
3723132,414552,52,985969,381819,,good
825380,717345,,107462,97244,0.9,bad
1273767,1468309,3,281847,216054,0.77,bad
2932325,916540,36,322637,101387,0.31,good
2965723,3307886,70,935827,598158,0.64,good
1357798,244353,41,490343,,0.45,good
3687213,122375,26,1018413,964773,0.95,bad
,194262,31,797866,23003,0.03,good
3901349,541717,37,,268716,0.58,good
3037239,3440808,49,324337,220772,0.68,good
394611,567322,64,151160,68999,0.46,good
2581775,204016,3,584342,188670,0.32,good
2623074,1921897,62,417461,222470,0.53,good
3579455,4976941,54,1012521,163163,0.16,good
2179570,2793496,,397807,60405,0.15,good
133487,18540,71,28225,14419,0.51,good
2746358,545537,52,350810,145187,0.41,good
2982054,,,,28734,0.05,bad
2049974,508902,96,760592,482604,0.63,good
3508429,4921316,98,843623,491327,0.58,good
,4608486,93,383493,159145,0.41,good
1966002,136377,35,764113,228289,0.3,good
1719202,,60,,115422,0.23,good
2395042,2410495,74,794879,401332,0.5,good
1742728,1920775,68,,62685,0.23,good
3592354,,17,749551,637664,0.85,bad
2167746,1722197,79,715783,521017,0.73,bad
2111606,1878634,0,810526,171599,,bad
,1072083,89,108901,9653,0.09,good
,825514,89,744884,523904,0.7,good
3670323,2387474,,615921,38245,0.06,good
680829,820239,81,84845,83345,0.98,bad
3763961,987658,91,1306831,1274191,0.98,good
720595,708627,,226858,41013,0.18,good
1141842,,94,203678,87828,0.43,good
155874,205490,85,42358,,0.95,bad
,496795,58,680494,324469,0.48,good
3904666,4076379,70,1326522,,0.23,good
1958330,811495,,,3862,0.01,good
2206543,,9,263680,63511,0.24,bad
2170882,877760,67,798876,751154,0.94,good
2624852,888072,3,794047,400687,0.5,good
3098288,159308,100,938475,147050,,good
3201891,1527808,86,723167,576887,0.8,good
764707,877064,98,179283,8306,0.05,good
3761741,2511222,5,1181110,165754,,bad
3739485,4842955,29,1478238,681355,0.46,bad
2489612,2789500,92,619152,,0.76,bad
1467235,966222,70,,172610,0.57,good
161208,,100,55248,2390,0.04,good
330819,247533,93,61851,32913,0.53,good
3039806,127768,53,675581,40795,0.06,good
916810,1244901,25,366174,296459,0.81,bad
1368402,978668,21,536098,388886,0.73,bad
,310804,28,313030,,0.56,good
2135800,362009,37,647829,502258,0.78,bad
106670,58455,,23624,21591,0.91,good
2933962,754838,10,651471,153956,0.24,good
2163558,1206693,36,,482785,0.99,bad
3547794,3166667,12,1194193,477792,0.4,bad
1151266,880547,88,172134,133104,0.77,bad
2131428,2369954,34,378524,25407,0.07,bad
3449205,2532508,92,696500,32422,0.05,good
800807,743485,4,115153,1574,0.01,bad
700120,940976,16,278428,246030,,bad
3139171,909226,96,408762,407894,1,good
3713453,1191756,27,1385764,99854,0.07,good
1957079,2859140,63,446648,254627,0.57,good
3564666,2582404,15,835209,572377,0.69,bad
1814120,382433,38,294368,152642,0.52,good
2679033,803048,31,881882,632729,0.72,bad
339038,316385,22,87961,51787,0.59,bad
2232848,1934800,51,690932,332306,,good
2503476,1709392,80,609319,337209,0.55,good
2419365,2013158,62,758163,418033,0.55,good
2889730,3126223,74,775827,480673,0.62,good
3030710,2423171,64,1112260,825335,,bad
,895985,73,508101,472476,0.93,bad
1089763,618991,93,414729,199180,,good
3645562,3716527,61,,679752,0.51,good
816927,,86,196017,16958,0.09,good
480420,187966,71,177111,33973,0.19,good
2837310,177892,48,843061,483705,0.57,good
1773344,,65,700236,585706,0.84,good
1176491,1497534,49,138137,75608,0.55,good
1107020,551663,11,422340,251762,0.6,good
2747561,,26,353472,95388,0.27,bad
1467697,930676,47,325731,207411,0.64,good
3620639,2349340,94,1051244,871386,0.83,bad
